"Feature","Gain","Cover","Frequence"
"1082",0.00156732,0.000974882,0.0018205
"79",0.00156727,0.00191527,0.00191095
"148",0.00156457,0.00123995,0.0019179
"638",0.00156306,0.0032939,0.00155612
"306",0.00155878,0.00115596,0.00135668
"715",0.00154274,0.000746452,0.00175788
"134",0.00154058,0.000925844,0.00180427
"840",0.0015349,0.000936044,0.00164425
"1133",0.00152701,0.0010284,0.00169759
"368",0.00152237,0.00124511,0.00179731
"742",0.00151899,0.000887021,0.00176484
"481",0.00151544,0.00236501,0.0018321
"721",0.00151033,0.00102073,0.00163497
"355",0.00150538,0.00107457,0.00185761
"366",0.00150407,0.00111241,0.00197588
"1288",0.00150329,0.00115449,0.00120826
"1112",0.0015013,0.001406,0.00154685
"38",0.00150112,0.000933772,0.000322356
"492",0.00150065,0.00147415,0.00190863
"250",0.00148852,0.000873213,0.00170223
"1384",0.0014862,0.0015314,0.00113868
"319",0.00148381,0.000836576,0.00181586
"952",0.00147343,0.00170627,0.00150278
"511",0.00147289,0.00114863,0.0018692
"739",0.00146817,0.000757581,0.00187616
"722",0.00146476,0.000791869,0.00163961
"732",0.00145881,0.000986578,0.00170455
"956",0.00145287,0.00118464,0.0012384
"729",0.00145034,0.00137372,0.00147959
"532",0.00144875,0.00134734,0.00158163
"259",0.00144806,0.00221451,0.00176716
"35",0.00144713,0.000841253,0.00136827
"411",0.00144549,0.00318927,0.000941558
"961",0.00144382,0.00109396,0.00154685
"149",0.00144334,0.000887087,0.00169295
"1460",0.0014391,0.00881784,0.000772263
"1081",0.00143649,0.00084926,0.00163497
"1391",0.00143235,0.0009996,0.0016257
"743",0.00143048,0.0018867,0.0013961
"568",0.00142971,0.00210322,0.00144481
"248",0.00142901,0.00104613,0.00164425
"523",0.00142701,0.00205378,0.00158395
"349",0.0014266,0.000918894,0.00166744
"749",0.00141765,0.000860457,0.00167208
"1080",0.00141457,0.000734502,0.00165816
"847",0.00140863,0.00105605,0.00142625
"1431",0.0014066,0.00119703,0.00173006
